ItemKind	ItemName	Location_Row	Location_Column	Required	InputMode	MaxLength	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	TabIndex	MultiLine	ForeColor	Visible	Input2	IsPostCd	Address	AddressKana	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	CharacterCasing	TextAddMode	Chk_Length_Strictly	Square	DummyItem	MasterCheck
T	個人お届け内容変更_名				N	50		02010001								T	48																			
T	個人お届け内容変更_生年月日				X	8		02010001							\d	T	49																	T		
T	個人お届け内容変更_郵便番号				X	7		02010001							\d	T	50																	T		
T	個人お届け内容変更_ご住所				N	60		02010001								T	51																			
T	個人お届け内容変更_自宅電話番号				X	13		02010001							^[0-9\-]+$	T	52																	T		
T	個人お届け内容変更_携帯電話番号				X	13		02010001							^[0-9\-]+$	T	53																	T		
T	国籍_コード				X	3		02010001							\d	T	54																	T		
T	国籍_カナ				KF	15		02010001							\d	T	55																			
T	在留資格_コード				X	3		02010001							\d	T	56																	T		
T	在留資格_資格名				N	12		02010001								T	57																			
T	在留期限				X	8		02010001							\d	T	58																	T		
T	お取引の目的_チェック1				X	2		T	01010001\t^(|01|02|03|04|05|06|07|08)$;02010001\t^(|01|02|03|04|05|06|07|08|09|10)$						\d	T	59																	T		
T	お取引の目的_チェック2				X	2		T	01010001\t^(|01|02|03|04|05|06|07|08)$;02010001\t^(|01|02|03|04|05|06|07|08|09|10)$						\d	T	60																	T		
T	お取引の目的_その他				N	20		T								T	61																			
T	事業内容_主業務				X	2		01010001	^(|01|02|03|04|05|06|07|08)$						\d	T	62																	T		
T	事業内容_従業務				X	2		01010001	^(|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25)$						\d	T	63																	T		
T	ご職業_種別チェック				X	2		02010001	^(|01|02|03|04|05|06|07|08|09)$						\d	T	64																	T		
T	ご職業_その他				N	20		02010001								T	65																			
T	ご職業_個人事業内容				X	2		02010001	^(|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25)$						\d	T	66																	T		
T	不備フラグ				X	1		F							\d	T	67																			
T	予備項目_1				X	1		F								T	68																			
T	予備項目_2				X	1		F								T	69																			
T	予備項目_3				X	1		F								T	70																			
T	予備項目_4				X	1		F								T	71																			
T	予備項目_5				X	1		F								T	72																			
T	予備項目_6				X	1		F								T	73																			
T	予備項目_7				X	1		F								T	74																			
T	予備項目_8				X	1		F								T	75																			
T	予備項目_9				X	1		F								T	76																			
T	予備項目_10				X	1		F								T	77																			
T	予備項目_11				X	1		F								T	78																			
T	予備項目_12				X	1		F								T	79																			
T	予備項目_13				X	1		F								T	80																			
T	予備項目_14				X	1		F								T	81																			
T	予備項目_15				X	1		F								T	82																			
T	予備項目_16				X	1		F								T	83																			
T	予備項目_17				X	1		F								T	84																			
T	予備項目_18				X	1		F								T	85																			
T	予備項目_19				X	1		F								T	86																			
T	予備項目_20				X	1		F								T	87																			
