TabIndex	ItemKind	ItemName	MaxLength	Required	InputMode	DefaultIMEMode	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	MultiLine	ForeColor	TabStop	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	TextAddMode	Square
68	T	2 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
69	T	2 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
70	T	2 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
71	T	2 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
72	T	2 再保険種類コード	3					T																											
73	T	3 募集する保険種目種類	4		X			T																											
74	T	3 種目別部店担当店	4		X			T																											
75	T	3 種目別代理店コード	5		X			T																											
76	T	3 種目別代理店サブコード	3		X			T																											
77	T	3 団体コード	5		X			T																											
78	T	3 払込方法（63）	2		X			T	^(|63)$						\d																				
79	T	3 払込方法（62）	2		X			T	^(|62)$						\d																				
80	T	3 払込方法（61）	2		X			T	^(|61)$						\d																				
81	T	3 払込方法（10）	2		X			T	^(|10)$						\d																				
82	T	3 払込方法（60）	2		X			T	^(|60)$						\d																				
83	T	3 払込方法（46）	2		X			T	^(|46)$						\d																				
84	T	3 払込方法（30）	2		X			T	^(|30)$						\d																				
85	T	3 払込方法（42）	2		X			T	^(|42)$																										
86	T	3 払込方法（76）	2		X			T	^(|76)$						\d																				
87	T	3 払込方法（10）	2		X			T	^(|10)$						\d																				
88	T	3 共同保険特約（1）	1		X			T	^(|1)$						\d																				
89	T	3 共同保険特約（2）	1		X			T	^(|2)$						\d																				
90	T	3 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
91	T	3 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
92	T	3 補正  代理店コード	5		X			T																											
93	T	3 補正  代理店サブコード	3		X			T																											
94	T	3 補正  割合	9		X			T							^[0-9\.]+$																		R		
95	T	3 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
96	T	3 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
97	T	3 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
98	T	3 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
99	T	3 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
100	T	3 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
101	T	3 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
102	T	3 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
103	T	3 再保険種類コード	3					T																											
104	T	4 募集する保険種目種類	4		X			T																											
105	T	4 種目別部店担当店	4		X			T																											
106	T	4 種目別代理店コード	5		X			T																											
107	T	4 種目別代理店サブコード	3		X			T																											
108	T	4 団体コード	5		X			T																											
109	T	4 払込方法（63）	2		X			T	^(|63)$						\d																				
110	T	4 払込方法（62）	2		X			T	^(|62)$						\d																				
111	T	4 払込方法（61）	2		X			T	^(|61)$						\d																				
112	T	4 払込方法（10）	2		X			T	^(|10)$						\d																				
113	T	4 払込方法（60）	2		X			T	^(|60)$						\d																				
114	T	4 払込方法（46）	2		X			T	^(|46)$						\d																				
115	T	4 払込方法（30）	2		X			T	^(|30)$						\d																				
116	T	4 払込方法（42）	2		X			T	^(|42)$																										
117	T	4 払込方法（76）	2		X			T	^(|76)$						\d																				
118	T	4 払込方法（10）	2		X			T	^(|10)$						\d																				
119	T	4 共同保険特約（1）	1		X			T	^(|1)$						\d																				
120	T	4 共同保険特約（2）	1		X			T	^(|2)$						\d																				
121	T	4 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
122	T	4 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
123	T	4 補正  代理店コード	5		X			T																											
124	T	4 補正  代理店サブコード	3		X			T																											
125	T	4 補正  割合	9		X			T							^[0-9\.]+$																		R		
126	T	4 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
127	T	4 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
128	T	4 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
129	T	4 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
130	T	4 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
131	T	4 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
132	T	4 Ag Com  特殊手数料無	9		X			T							^[0-9\.]+$																		R		
133	T	4 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
134	T	4 再保険種類コード	3					T																											
135	T	5 募集する保険種目種類	4		X			T																											
136	T	5 種目別部店担当店	4		X			T																											
137	T	5 種目別代理店コード	5		X			T																											
138	T	5 種目別代理店サブコード	3		X			T																											
139	T	5 団体コード	5		X			T																											
140	T	5 払込方法（63）	2		X			T	^(|63)$						\d																				
141	T	5 払込方法（62）	2		X			T	^(|62)$						\d																				
142	T	5 払込方法（61）	2		X			T	^(|61)$						\d																				
143	T	5 払込方法（10）	2		X			T	^(|10)$						\d																				
144	T	5 払込方法（60）	2		X			T	^(|60)$						\d																				
145	T	5 払込方法（46）	2		X			T	^(|46)$						\d																				
146	T	5 払込方法（30）	2		X			T	^(|30)$						\d																				
147	T	5 払込方法（42）	2		X			T	^(|42)$																										
148	T	5 払込方法（76）	2		X			T	^(|76)$						\d																				
149	T	5 払込方法（10）	2		X			T	^(|10)$						\d																				
150	T	5 共同保険特約（1）	1		X			T	^(|1)$						\d																				
151	T	5 共同保険特約（2）	1		X			T	^(|2)$						\d																				
152	T	5 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
153	T	5 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
154	T	5 補正  代理店コード	5		X			T																											
155	T	5 補正  代理店サブコード	3		X			T																											
156	T	5 補正  割合	9		X			T							^[0-9\.]+$																		R		
157	T	5 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
158	T	5 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
159	T	5 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
160	T	5 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
161	T	5 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
162	T	5 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
163	T	5 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
164	T	5 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
165	T	5 再保険種類コード	3					T																											
166	T	6 募集する保険種目種類	4		X			T																											
167	T	6 種目別部店担当店	4		X			T																											
168	T	6 種目別代理店コード	5		X			T																											
169	T	6 種目別代理店サブコード	3		X			T																											
170	T	6 団体コード	5		X			T																											
171	T	6 払込方法（63）	2		X			T	^(|63)$						\d																				
172	T	6 払込方法（62）	2		X			T	^(|62)$						\d																				
173	T	6 払込方法（61）	2		X			T	^(|61)$						\d																				
174	T	6 払込方法（10）	2		X			T	^(|10)$						\d																				
175	T	6 払込方法（60）	2		X			T	^(|60)$						\d																				
176	T	6 払込方法（46）	2		X			T	^(|46)$						\d																				
177	T	6 払込方法（30）	2		X			T	^(|30)$						\d																				
178	T	6 払込方法（42）	2		X			T	^(|42)$																										
179	T	6 払込方法（76）	2		X			T	^(|76)$						\d																				
180	T	6 払込方法（10）	2		X			T	^(|10)$						\d																				
181	T	6 共同保険特約（1）	1		X			T	^(|1)$						\d																				
182	T	6 共同保険特約（2）	1		X			T	^(|2)$						\d																				
183	T	6 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
184	T	6 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
185	T	6 補正  代理店コード	5		X			T																											
186	T	6 補正  代理店サブコード	3		X			T																											
187	T	6 補正  割合	9		X			T							^[0-9\.]+$																		R		
188	T	6 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
189	T	6 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
190	T	6 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
191	T	6 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
192	T	6 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
193	T	6 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
194	T	6 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
195	T	6 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
196	T	6 再保険種類コード	3					T																											
197	T	7 募集する保険種目種類	4		X			T																											
198	T	7 種目別部店担当店	4		X			T																											
199	T	7 種目別代理店コード	5		X			T																											
200	T	7 種目別代理店サブコード	3		X			T																											
201	T	7 団体コード	5		X			T																											
202	T	7 払込方法（63）	2		X			T	^(|63)$						\d																				
203	T	7 払込方法（62）	2		X			T	^(|62)$						\d																				
204	T	7 払込方法（61）	2		X			T	^(|61)$						\d																				
205	T	7 払込方法（10）	2		X			T	^(|10)$						\d																				
206	T	7 払込方法（60）	2		X			T	^(|60)$						\d																				
207	T	7 払込方法（46）	2		X			T	^(|46)$						\d																				
208	T	7 払込方法（30）	2		X			T	^(|30)$						\d																				
209	T	7 払込方法（42）	2		X			T	^(|42)$																										
210	T	7 払込方法（76）	2		X			T	^(|76)$						\d																				
211	T	7 払込方法（10）	2		X			T	^(|10)$						\d																				
212	T	7 共同保険特約（1）	1		X			T	^(|1)$						\d																				
213	T	7 共同保険特約（2）	1		X			T	^(|2)$						\d																				
214	T	7 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
215	T	7 代理店／仲立人　分担（1）	1		X			T	^(|2)$						\d																				
216	T	7 補正  代理店コード	5		X			T																											
217	T	7 補正  代理店サブコード	3		X			T																											
218	T	7 補正  割合	9		X			T							^[0-9\.]+$																		R		
219	T	7 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
220	T	7 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
221	T	7 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
222	T	7 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
223	T	7 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
224	T	7 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
225	T	7 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
226	T	7 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
227	T	7 再保険種類コード	3					T																											
228	T	8 募集する保険種目種類	4		X			T																											
229	T	8 種目別部店担当店	4		X			T																											
230	T	8 種目別代理店コード	5		X			T																											
231	T	8 種目別代理店サブコード	3		X			T																											
232	T	8 団体コード	5		X			T																											
233	T	8 払込方法（63）	2		X			T	^(|63)$						\d																				
234	T	8 払込方法（62）	2		X			T	^(|62)$						\d																				
235	T	8 払込方法（61）	2		X			T	^(|61)$						\d																				
236	T	8 払込方法（10）	2		X			T	^(|10)$						\d																				
237	T	8 払込方法（60）	2		X			T	^(|60)$						\d																				
238	T	8 払込方法（46）	2		X			T	^(|46)$						\d																				
239	T	8 払込方法（30）	2		X			T	^(|30)$						\d																				
240	T	8 払込方法（42）	2		X			T	^(|42)$																										
241	T	8 払込方法（76）	2		X			T	^(|76)$						\d																				
242	T	8 払込方法（10）	2		X			T	^(|10)$						\d																				
243	T	8 共同保険特約（1）	1		X			T	^(|1)$						\d																				
244	T	8 共同保険特約（2）	1		X			T	^(|2)$						\d																				
245	T	8 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
246	T	8 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
247	T	8 補正  代理店コード	5		X			T																											
248	T	8 補正  代理店サブコード	3		X			T																											
249	T	8 補正  割合	9		X			T							^[0-9\.]+$																		R		
250	T	8 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
251	T	8 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
252	T	8 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
253	T	8 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
254	T	8 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
255	T	8 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
256	T	8 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
257	T	8 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
258	T	8 再保険種類コード	3					T																											
259	T	9 募集する保険種目種類	4		X			T																											
260	T	9 種目別部店担当店	4		X			T																											
261	T	9 種目別代理店コード	5		X			T																											
262	T	9 種目別代理店サブコード	3		X			T																											
263	T	9 団体コード	5		X			T																											
264	T	9 払込方法（63）	2		X			T	^(|63)$						\d																				
265	T	9 払込方法（62）	2		X			T	^(|62)$						\d																				
266	T	9 払込方法（61）	2		X			T	^(|61)$						\d																				
267	T	9 払込方法（10）	2		X			T	^(|10)$						\d																				
268	T	9 払込方法（60）	2		X			T	^(|60)$						\d																				
269	T	9 払込方法（46）	2		X			T	^(|46)$						\d																				
270	T	9 払込方法（30）	2		X			T	^(|30)$						\d																				
271	T	9 払込方法（42）	2		X			T	^(|42)$																										
272	T	9 払込方法（76）	2		X			T	^(|76)$						\d																				
273	T	9 払込方法（10）	2		X			T	^(|10)$						\d																				
274	T	9 共同保険特約（1）	1		X			T	^(|1)$						\d																				
275	T	9 共同保険特約（2）	1		X			T	^(|2)$						\d																				
276	T	9 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
277	T	9 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
278	T	9 補正  代理店コード	5		X			T																											
279	T	9 補正  代理店サブコード	3		X			T																											
280	T	9 補正  割合	9		X			T							^[0-9\.]+$																		R		
281	T	9 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
282	T	9 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
283	T	9 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
284	T	9 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
285	T	9 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
286	T	9 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
287	T	9 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
288	T	9 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
289	T	9 再保険種類コード	3					T																											
290	T	10募集する保険種目種類	4		X			T																											
291	T	10 種目別部店担当店	4		X			T																											
292	T	10 種目別代理店コード	5		X			T																											
293	T	10 種目別代理店サブコード	3		X			T																											
294	T	10 団体コード	5		X			T																											
295	T	10 払込方法（63）	2		X			T	^(|63)$						\d																				
296	T	10 払込方法（62）	2		X			T	^(|62)$						\d																				
297	T	10 払込方法（61）	2		X			T	^(|61)$						\d																				
298	T	10 払込方法（10）	2		X			T	^(|10)$						\d																				
299	T	10 払込方法（60）	2		X			T	^(|60)$						\d																				
300	T	10 払込方法（46）	2		X			T	^(|46)$						\d																				
301	T	10 払込方法（30）	2		X			T	^(|30)$						\d																				
302	T	10 払込方法（42）	2		X			T	^(|42)$																										
303	T	10 払込方法（76）	2		X			T	^(|76)$						\d																				
304	T	10 払込方法（10）	2		X			T	^(|10)$						\d																				
305	T	10 共同保険特約（1）	1		X			T	^(|1)$						\d																				
306	T	10 共同保険特約（2）	1		X			T	^(|2)$						\d																				
307	T	10 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
308	T	10 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
309	T	10 補正  代理店コード	5		X			T																											
310	T	10 補正  代理店サブコード	3		X			T																											
311	T	10 補正  割合	9		X			T							^[0-9\.]+$																		R		
312	T	10 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
313	T	10 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
314	T	10  Ag Com 事務費の有無（1）	1		X			T	^(|1)$						\d																				
315	T	10  Ag Com 事務費の有無（2）	1		X			T	^(|2)$						\d																				
316	T	10  Ag Com 事務費の有無（3）	1		X			T	^(|3)$						\d																				
317	T	10  Ag Com 事務費の有無（4）	1		X			T	^(|4)$						\d																				
318	T	10  Ag Com 特殊手数料率	9		X			T							^[0-9\.]+$																		R		
319	T	10  Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
320	T	10   再保険種類コード	3					T																											
321	T	11　募集する保険種目種類	4		X			T																											
322	T	11 種目別部店担当店	4		X			T																											
323	T	11 種目別代理店コード	5		X			T																											
324	T	11 種目別代理店サブコード	3		X			T																											
325	T	11 団体コード	5		X			T																											
326	T	11　 払込方法（63）	2		X			T	^(|63)$						\d																				
327	T	11　 払込方法（62）	2		X			T	^(|62)$						\d																				
328	T	11　 払込方法（61）	2		X			T	^(|61)$						\d																				
329	T	11　 払込方法（10）	2		X			T	^(|10)$						\d																				
330	T	11　 払込方法（60）	2		X			T	^(|60)$						\d																				
331	T	11　 払込方法（46）	2		X			T	^(|46)$						\d																				
332	T	11　 払込方法（30）	2		X			T	^(|30)$						\d																				
333	T	11　 払込方法（42）	2		X			T	^(|42)$																										
334	T	11　 払込方法（76）	2		X			T	^(|76)$						\d																				
335	T	11　 払込方法（10）	2		X			T	^(|10)$						\d																				
336	T	11　 共同保険特約（1）	1		X			T	^(|1)$						\d																				
337	T	11　 共同保険特約（2）	1		X			T	^(|2)$						\d																				
338	T	11　 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
339	T	11　 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
340	T	11 補正  代理店コード	5		X			T																											
341	T	11 補正  代理店サブコード	3		X			T																											
342	T	11　 補正  割合	9		X			T							^[0-9\.]+$																		R		
343	T	11　 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
344	T	11　 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
345	T	11　  Ag Com 事務費の有無（1）	1		X			T	^(|1)$						\d																				
346	T	11　  Ag Com 事務費の有無（2）	1		X			T	^(|2)$						\d																				
347	T	11　  Ag Com 事務費の有無（3）	1		X			T	^(|3)$						\d																				
348	T	11　  Ag Com 事務費の有無（4）	1		X			T	^(|4)$						\d																				
349	T	11　  Ag Com 特殊手数料率	9		X			T							^[0-9\.]+$																		R		
350	T	11　  Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
351	T	11　 再保険種類コード	3					T																											
352	T	12　 募集する保険種目種類	4		X			T																											
353	T	12 種目別部店担当店	4		X			T																											
354	T	12 種目別代理店コード	5		X			T																											
355	T	12 種目別代理店サブコード	3		X			T																											
356	T	12 団体コード	5		X			T																											
357	T	12　 払込方法（63）	2		X			T	^(|63)$						\d																				
358	T	12　 払込方法（62）	2		X			T	^(|62)$						\d																				
359	T	12　 払込方法（61）	2		X			T	^(|61)$						\d																				
360	T	12　 払込方法（10）	2		X			T	^(|10)$						\d																				
361	T	12　 払込方法（60）	2		X			T	^(|60)$						\d																				
362	T	12　 払込方法（46）	2		X			T	^(|46)$						\d																				
363	T	12　 払込方法（30）	2		X			T	^(|30)$						\d																				
364	T	12　 払込方法（42）	2		X			T	^(|42)$																										
365	T	12　 払込方法（76）	2		X			T	^(|76)$						\d																				
366	T	12　 払込方法（10）	2		X			T	^(|10)$						\d																				
367	T	12　 共同保険特約（1）	1		X			T	^(|1)$						\d																				
368	T	12　 共同保険特約（2）	1		X			T	^(|2)$						\d																				
369	T	12　 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
370	T	12　 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
371	T	12 補正  代理店コード	5		X			T																											
372	T	12 補正  代理店サブコード	3		X			T																											
373	T	12　 補正  割合	9		X			T							^[0-9\.]+$																		R		
374	T	12　 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
375	T	12　 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
376	T	12　  Ag Com 事務費の有無（1）	1		X			T	^(|1)$						\d																				
377	T	12　  Ag Com 事務費の有無（2）	1		X			T	^(|2)$						\d																				
378	T	12　  Ag Com 事務費の有無（3）	1		X			T	^(|3)$						\d																				
379	T	12　  Ag Com 事務費の有無（4）	1		X			T	^(|4)$						\d																				
380	T	12　  Ag Com 特殊手数料率	9		X			T							^[0-9\.]+$																		R		
381	T	12　  Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
382	T	12　 再保険種類コード	3					T																											
383	T	13   募集する保険種目種類	4		X			T																											
384	T	13 種目別部店担当店	4		X			T																											
385	T	13 種目別代理店コード	5		X			T																											
386	T	13 種目別代理店サブコード	3		X			T																											
387	T	13 団体コード	5		X			T																											
388	T	13　 払込方法（63）	2		X			T	^(|63)$						\d																				
389	T	13　 払込方法（62）	2		X			T	^(|62)$						\d																				
390	T	13　 払込方法（61）	2		X			T	^(|61)$						\d																				
391	T	13　 払込方法（10）	2		X			T	^(|10)$						\d																				
392	T	13　 払込方法（60）	2		X			T	^(|60)$						\d																				
393	T	13　 払込方法（46）	2		X			T	^(|46)$						\d																				
394	T	13　 払込方法（30）	2		X			T	^(|30)$						\d																				
395	T	13　 払込方法（42）	2		X			T	^(|42)$																										
396	T	13　 払込方法（76）	2		X			T	^(|76)$						\d																				
397	T	13　 払込方法（10）	2		X			T	^(|10)$						\d																				
398	T	13　 共同保険特約（1）	1		X			T	^(|1)$						\d																				
399	T	13　 共同保険特約（2）	1		X			T	^(|2)$						\d																				
400	T	13　 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
401	T	13　 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
402	T	13 補正  代理店コード	5		X			T																											
403	T	13 補正  代理店サブコード	3		X			T																											
404	T	13　 補正  割合	9		X			T							^[0-9\.]+$																		R		
405	T	13　 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
406	T	13　 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
407	T	13　  Ag Com 事務費の有無（1）	1		X			T	^(|1)$						\d																				
408	T	13　  Ag Com 事務費の有無（2）	1		X			T	^(|2)$						\d																				
409	T	13　  Ag Com 事務費の有無（3）	1		X			T	^(|3)$						\d																				
410	T	13　  Ag Com 事務費の有無（4）	1		X			T	^(|4)$						\d																				
411	T	13　  Ag Com 特殊手数料率	9		X			T							^[0-9\.]+$																		R		
412	T	13　  Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
413	T	13　 再保険種類コード	3					T																											
414	T	14   募集する保険種目種類	4		X			T																											
415	T	14 種目別部店担当店	4		X			T																											
416	T	14 種目別代理店コード	5		X			T																											
417	T	14 種目別代理店サブコード	3		X			T																											
418	T	14 団体コード	5		X			T																											
419	T	14　 払込方法（63）	2		X			T	^(|63)$						\d																				
420	T	14　 払込方法（62）	2		X			T	^(|62)$						\d																				
421	T	14　 払込方法（61）	2		X			T	^(|61)$						\d																				
422	T	14　 払込方法（10）	2		X			T	^(|10)$						\d																				
423	T	14　 払込方法（60）	2		X			T	^(|60)$						\d																				
424	T	14　 払込方法（46）	2		X			T	^(|46)$						\d																				
425	T	14　 払込方法（30）	2		X			T	^(|30)$						\d																				
426	T	14　 払込方法（42）	2		X			T	^(|42)$																										
